A;DDNPCLUXNMUA;1986;577
A;BZHTWUQVRWTSKKYJMQQDPGHRGWIEIKXUTXHKJNETDQQOJPR;1994;56
A;DFXYSADTRZXHAJSXLURMMQDSULGRRRQHNVYVRYLFRKSZIKIYAR;1989;597
A;DGEDRCFMBOGPHDUIJPTXXJUSQBRFEQEFXLKWJWTOIHNTURWOY;1987;319
A;EVKDRFXJ;1974;678
A;FZCEXDFQDCJLTYFHMRGXTBNVYLMBWWBY;1987;862
A;IPIORLKVTXOGKHWRQZWFPUVOTNYLD;1991;170
A;LBQDUFXLG;1971;257
A;LCDFPIXDWHTFOJEXKVLTLORCRZUZXK;2006;177
A;PMKWJBMAYPXBPMLMVJYBYNMONWMJDMKRHMCVXMLXF;2010;379
A;RDKBRBZFRGQQNNPAAJKZFTBHYIDMTGR;2012;757
A;TGUQNQANZCLNQNWCJKVBTCFCTPFBI;2007;158
A;YQAIXFOTQIHCJZDRRPGHKAODBEYRKMIQRFXJ;2002;573
AAANBTZWBCIJARS;UOYYGJEHLRBDNMMEXBBVSFTXMTDFR;1972;257
AAAXHHMEAKXXFLVTDDARBOJDK;PCCTBKMNUDFNMZOESEFCRSKBLKTTURNYEPQVVNLWPCROCGAN;1996;475
AAFEE;AAPUBUNYMIULUNJFW;1993;477
AAFIOSBUTGBNOZAEDHIZJSGRKEDZ;VB;1998;789
AAFZVAYGEUVOSEPYMEKYKQKQMPPKDIOWTKONLIIMSL;SLZGSUVMXPXIRHCWKRRKYNEUPVYTLFPZBBFUPUY;1984;973
AAIBGVFDNQRSOGAMGKORPNJ;EGUCHRQJIUKBRBCHS;1994;631
AAOVMBCUJQMOOEJDJVWUDAFYOYHCVJSXRECLCLVAY;RLLIDKOSEITKOFJQIKJOA;2013;972
AAPWHRIERMLBFUNKGDANYYCLNNWISQGUBSYEMVAEKJSQDTEFBR;YOOGAPFNDGIWVTZXUQPWVNKDGPMLRYOLVRJTHVSLMH;2003;314
AAZIBBBHJNGAJZPNXKLEUISLS;GMF;2013;936
ABATKSLNHBPIVEURIMKIMDQLYWEMGJACBXQ;KWGHNQNDBA;2006;202
ABBIQTWZKTFAPADEUZMMRJZM;XWOUAWVIGYPLBETMNGLCISQSBXGPBFVRKFZIRJRDLRZQKAWGTN;1981;697
ABCPGKKETJTFRWWVBVMUGAL;FRGGJQRFHNHLSSVSRSGBYCCBEIDVGKIIHLXW;1984;997
ABDENUQABCYZPOAZFHODJFCTZZWBU;BHMNFEFOMBWBGKNLUFYULQQUL;1973;800
ABEPZBIPTPGJDPXSTEDICWGWRQCNXTGBWLNIMBLYKQTGJLWU;SFSAAPCMK;2018;413
ABGJCPYJTLHULJMXZBUDA;TWYGPAIDFFPZNHHUFNDNOENRNZHIGOVGNUZUDIZWNLMK;2000;839
ABGVNNFOVIQLEIPOVJHDRRKILMPULV;VSNBNELRZBOPVWGKAJKEWQTJJJPRXPIRRVQNPJONICSHHVTUPV;2008;182
ABNJFSM;SPHZHZF;1989;843
ABQDIFQSYEFNYHOEWDFUBLWMMXII;WMQDLDGAUFPTNTPOJR;1982;443
ABQJTSQXLTJXSDHAXPWYBCSCOVB;JUQQZAPLYEYWIKTJETWSANLPNFHTXBXWYMUOQ;2019;506
ABVNAJRIDRERGAZTRNXXQUMPBFHJNEGXHCTUORRKOWWTYOC;BSNLI;1995;156
ABWWDQKIQTPJETCVXJMLZRLXLBCQREN;OUBMIRLPCGZ;2009;872
ABYDIUKPGUFV;MFXMCHHKHIVYMWS;1982;778
ABYLZUXUWPD;JJRDHGTULTSBMNSSSXKL;1988;687
ACEMZXABOJR;ZDJBWKFSCSPGRCRBQJKEFHEFBEKRCADBHBBCJPUNUEFFMWT;2008;591
ACFCZGKHLCQUOJTNETFMUBGPMXKMZVOOGPJPTAMNVLFGPFLVBE;HPEGXUPLLNMKCPIIYGIIAIHRCRKVMWEYFONTKDOQPYIEQL;2003;633
ACGZAGWIWZCMUFLOM;INFYLGXAZYJEUWCLSHNZUVVQTTG;1976;874
ACITJVYDIVGQFVGCHLRDDOCZVYKZSKXSP;ZRGOJZRSBUYVYSQZAKMTMPODTYNUZOISJYNVUUFSWZUTXVQ;1970;184
ACKWTJXNQNZILL;UQCHXLPUUEWIENWMYTLNIAERURSIGNDMJUSNMXGJJGXSGLJW;1996;60
ACNE;VNVDCXBNNKNOBGVYTEBVMGXGCYJNDQV;1978;390
ACNJVVPMWJVWA;KSDZXOMGVXMWNVITXFICV;2013;464
ACQMQ;KTZBNZOKCPRXJZFHTIXFAPMUQQFOMEABFLXBVBFCJZHI;2013;703
ACRQBCJ;HLFDDSHZP;1972;667
ACVZNZZTFXHCZUWAAVZTCXIXYWGRONZ;WGSMSKQHZDTNZFKZTWEYWNEGCG;1985;563
